id,gt,league,home,away,hc,folder,score,totalGoals,size,predict,correct,lamTotal,lam
508359,20260717 10:30,美国职业大联盟联赛,西雅图海湾者,波特兰伐木者,3.25,20260715_090038,-,-,,大,,3.487,3.509
508485,20260717 11:00,墨西哥超级联赛,堤华纳,堤格雷斯,2.50,20260715_090038,-,-,,大,,2.801,2.773
508176,20260717 17:55,南韩女子职业联赛,水原FC女足,华川KSPO女足,2.75,20260716_210040,0:0,0,小,小,对,2.772,2.805
508152,20260717 19:00,中国超级联赛,青岛西海岸,成都蓉城,3.00,20260716_220039,1:1,2,小,小,对,3.053,3.081
508148,20260717 19:35,中国超级联赛,河南队,青岛海牛,2.75,20260716_220039,5:1,6,大,大,对,3.064,3.072
508149,20260717 19:35,中国超级联赛,北京国安,辽宁铁人,3.25,20260716_220039,1:1,2,小,小,对,3.396,3.523
508150,20260717 20:00,中国超级联赛,云南玉昆,上海海港,3.25,20260716_220039,2:2,4,大,大,对,3.434,3.464
510127,20260717 20:00,球会友谊赛,米迪兰特,奥丹斯,2.75,20260717_160030,4:1,5,大,大,对,3.127,3.100
508241,20260718 01:00,瑞典超级联赛,米赞比,华斯特罗斯,2.75,20260715_090038,0:0,0,小,大,错,2.991,2.940
508240,20260718 01:00,瑞典超级联赛,哥登堡,庞马普卡纳,2.75,20260715_090038,2:1,3,大,大,对,3.028,2.982
508275,20260718 01:15,挪威超级联赛,波杜基林特,费德列斯达,3.75,20260715_090038,1:0,1,小,小,对,3.880,3.849
509327,20260718 01:55,乌拉圭甲组联赛,艾比安FC,拿斯派达斯青年,2.25,20260716_220039,0:1,1,小,小,对,2.339,2.370
510128,20260718 02:45,球会友谊赛,赫斯,华历简奴,2.50,20260717_160030,2:1,3,大,大,对,2.800,2.796
509720,20260718 02:45,球会友谊赛,宾菲加,维拉利尔,2.75,20260716_220039,2:0,2,小,大,错,3.064,2.867
506220,20260718 05:45,阿根廷杯,圣罗伦素,莱斯查,1.75,20260715_090038,1:1,2,大,小,错,1.873,1.820
508293,20260718 06:00,巴西乙组联赛,青年队,古亚巴,1.75,20260715_090038,2:0,2,大,大,对,1.978,1.939
508295,20260718 06:00,巴西乙组联赛,阿美利加明尼路,施亚拉,2.25,20260715_210040,1:1,2,小,小,对,2.290,2.304
508294,20260718 06:00,巴西乙组联赛,圣贝拿度,艾华尔,2.25,20260715_090038,1:1,2,小,小,对,2.375,2.408
509328,20260718 06:25,乌拉圭甲组联赛,蒙特维多国民队,蒙特维多流浪,2.50,20260716_220039,-,-,,小,,2.668,2.652
509666,20260718 06:30,巴西甲组联赛,巴希亚,查比高恩斯,3.00,20260715_210040,-,-,,小,,3.127,3.112
508284,20260718 07:00,巴西甲组联赛,米拉索,甘美奥,2.25,20260715_090038,-,-,,大,,2.422,2.455
508285,20260718 07:00,巴西甲组联赛,富明尼斯,巴拉干天奴,2.25,20260715_090038,-,-,,大,,2.461,2.494
508296,20260718 08:00,巴西乙组联赛,科泰尼沙,路禾利桑天奴,2.25,20260715_090038,-,-,,大,,2.423,2.456
509233,20260718 08:00,美国国家女子联赛,肯萨斯城流动女足,圣地牙哥海浪女足,2.50,20260716_230032,-,-,,大,,2.704,2.730
508301,20260718 08:00,巴西乙组联赛,隆德里纳,保地花高SP,2.00,20260715_210040,-,-,,大,,2.269,2.251
508360,20260718 08:10,美国职业大联盟联赛,纳舒维尔SC,阿特兰大联,2.75,20260715_090038,-,-,,大,,2.964,2.929
508854,20260718 08:45,阿根廷杯,河床,阿度斯维,2.50,20260715_090038,-,-,,小,,2.546,2.708
508487,20260718 09:00,墨西哥超级联赛,莱昂,阿特拿斯,2.50,20260716_230032,-,-,,大,,2.781,2.773
508486,20260718 09:00,墨西哥超级联赛,圣路易斯体育会,蓝十字,2.75,20260715_090038,-,-,,大,,2.914,2.877
508361,20260718 10:25,美国职业大联盟联赛,洛杉矶银河,洛杉矶FC,3.00,20260715_090038,-,-,,小,,3.124,3.121
508488,20260718 11:00,墨西哥超级联赛,祖亚雷斯,普埃布拉,2.75,20260715_090038,-,-,,大,,2.964,2.929
